ICBO Statistical Analysis Report
Generated: 20251211_170343

=== Friedman Test (Overall Comparison) ===
Chi-square,10122.0
p-value,0.0
Significance,Yes
Critical Difference (CD),3.4052118876804123

=== Average Ranks (Lower is Better) ===
Rank,Algorithm,Average Rank
1,Random,7.0000
2,PSO,1.0000
3,GWO,3.0000
4,WOA,5.0000
5,CBO,6.0000
6,ICBO,4.0000
7,ICBO-Enhanced,2.0000

=== Pairwise Comparison Summary ===
Algorithm 1,Algorithm 2,p-value,Significance,Cohen's d,Effect Size,Mean Difference
CBO,ICBO,6.2546e-03,**,0.0888,negligible,74.2925
CBO,ICBO-Enhanced,1.1910e-03,**,0.1723,negligible,138.5064
ICBO,ICBO-Enhanced,6.3619e-03,**,0.0845,negligible,64.2139
PSO,ICBO-Enhanced,3.9173e-02,*,-0.0502,negligible,-35.4710
PSO,ICBO,1.3676e-03,**,-0.1341,negligible,-99.6849
Random,CBO,3.7601e-05,***,0.3872,small,444.9228
